OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontal;Kurvatur, stigning
719460568;Bolig;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;Privat;Privat;;Skaun;5029;FV6634 S1D1 m1897;90;7;80;Lite streng;E - Lokale adkomstveger;8;1;80;10.9
719460568;Bolig;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;Privat;Privat;;Skaun;5029;FV6634 S1D1 m1897;90;7;80;Lite streng;E - Lokale adkomstveger;8;1;80;10.9
1022607902;Hytte;;23.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617065#;Avslag;29.04.2025;;;Privat;Privat;;Skaun;5029;FV800 S3D1 m1539;2500;8;70;Streng;C - Lokale hovedveger;8;10;-2669;2.4
1024479996;Industri;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;Privat;Privat;;Malvik;5031;FV6706 S1D1 m1905;1200;12;60;Streng;B - Regionale hovedveger;14;3;99999;-0.4
721319043;Gardsbruk;202527324;30.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=625355#;Utvidet bruk;14.07.2025;14.07.2028;;Privat;Privat;;Malvik;5031;FV6670 S1D1 m1878;600;10;50;Mindre streng;D - Lokale samleveger;23;0;350;6.3
1024479995;Industri;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;Privat;Privat;;Malvik;5031;FA6706 S1001D1 m193;;;;;;0;0;;
715901994;Dyrkamark/jordbruk;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;FV705 S8D1 m5980;799;16;80;Streng;B - Regionale hovedveger;9;2;-821;4.1
715901993;Skog/skogbruk;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;FV705 S8D1 m5867;799;16;80;Streng;B - Regionale hovedveger;8;2;110;4.1
1024620199;Bolig;202524823;12.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622819#;Utvidet bruk;09.07.2025;09.07.2028;;Privat;Privat;;Stjørdal;5035;FV6788 S2D1 m18;951;11;40;Lite streng;E - Lokale adkomstveger;8;0;99999;1.2
718788016;Bolig;202510259-3;14.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608151;Utvidet bruk;10.04.2025;10.04.2028;;Privat;Privat;;Indre Fosen;5054;FV718 S1D1 m4886;1560;10;60;Mindre streng;D - Lokale samleveger;21;4;257;-2.4
615543130;Bolig;202131549-4 ;13.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=407094;Utvidet bruk;24.05.2024;24.05.2027;;Privat;Privat;;Hitra;5056;FV6448 S1D1 m5551;427;22;60;Lite streng;E - Lokale adkomstveger;10;1;-201;0.1
