"OBJ.VEGOBJEKT-ID";"EGS.BRUKSOMRÅDE.1256";"EGS.SAKSNUMMER.1822";"EGS.S√òKNAD MOTTATT DATO.12048";"EGS.ARKIVREFERANSE, URL.12050";"EGS.VEDTAK.10670";"EGS.VEDTAKSDATO.11444";"EGS.TILLATELSE GJELDER TIL DATO.12049";"EGS.TILLEGGSINFORMASJON.11566";"EGS.EIER.7993";"EGS.VEDLIKEHOLDSANSVARLIG.8056";"EGS.GEOMETRI, PUNKT.4753";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"VSR.VEGSYSTEMREFERANSE";"ADT_total";"√ÖDT, andel lange kj√∏ret√∏y";"Fartsgrense";"Holdningsklasse";"Funksjonsklasse";"Avkjorsler";"Trafikkulykker";"Vurdering";"Kommentar";"Kurvatur, horisontal";"Kurvatur, stigning";"ÅDT, total";"ÅDT, andel lange kjøretøy";"Avkjørsel, holdningsklasse";"Søknadstype"
718788016;"Bolig";"202510259-3";"14.02.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608151";"Utvidet bruk";"10.04.2025";"10.04.2028";"";"Privat";"Privat";"";"Indre Fosen";5054;"FV718 S1D1 m4886";1560.0;10.0;60.0;"Mindre streng";"D - Lokale samleveger";21;4;"";"";257.0;-2.4;1560.0;10.0;"Mindre streng";"Utvidet bruk"
615543130;"Bolig";"202131549-4 ";"13.05.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=407094";"Utvidet bruk";"24.05.2024";"24.05.2027";"";"Privat";"Privat";"";"Hitra";5056;"FV6448 S1D1 m5551";427.0;22.0;60.0;"Lite streng";"E - Lokale adkomstveger";10;1;"Enkel";"";-201.0;0.1;427.0;22.0;"Lite streng";"Utvidet bruk"
607413153;"Dyrkamark/jordbruk";"202445172-2";"10.09.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589122";"Varig tillatelse";"18.09.2024";"18.09.2027";"";"Privat";"Privat";"";"√òrland";5057;"FV6392 S1D1 m264";1690.0;9.0;60.0;"Mindre streng";"D - Lokale samleveger";10;3;"";"";-730.0;0.0;1690.0;9.0;"Mindre streng";"Varig tillatelse"
607413228;"Bolig";"202424751-2";"08.04.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=568555";"Utvidet bruk";"03.05.2024";"03.05.2024";"";"Privat";"Privat";"";"√òrland";5057;"FV6392 S2D1 m840";550.0;10.0;60.0;"Mindre streng";"D - Lokale samleveger";10;5;"";"";-186.0;-7.3;550.0;10.0;"Mindre streng";"Utvidet bruk"
608011038;"Gardsbruk";"202522248";"21.05.2025";"https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3456061&VerID=3254109";"Endret bruk";"23.07.2025";"28.11.2025";"Tiltak: Midlertidig utvidelse og bruksendring av avkj√∏rsel";"Privat";"Privat";"";"√òrland";5057;"FV6406 S1D1 m4777";193.0;26.0;60.0;"Mindre streng";"D - Lokale samleveger";19;0;"";"";-1478.0;-0.1;193.0;26.0;"Mindre streng";"Endret bruk"
1022569230;"Forretning";"202519020";"17.04.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616964#";"Avslag";"09.05.2025";"";"";"";"";"";"√òrland";5057;"FV6346 S1D1 m45";350.0;9.0;60.0;"Lite streng";"E - Lokale adkomstveger";3;0;"Vanskelig";"";-327.0;-2.7;350.0;9.0;"Lite streng";"Varig tillatelse"
604331057;"Gardsbruk";"202432190-2";"17.06.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576085";"Utvidet bruk";"27.11.2024";"27.11.2027";"";"Privat";"Privat";"";"√Öfjord";5058;"FV6328 S1D1 m2831";718.0;8.0;80.0;"Lite streng";"E - Lokale adkomstveger";4;2;"";"";2722.0;-0.6;718.0;8.0;"Lite streng";"Utvidet bruk"
600313582;"Skog/skogbruk";"202316503-4";"14.08.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=489167";"Midlertidig tillatelse";"28.08.2024";"01.09.2025";"Midlertidig utvidet bruk ";"Privat";"Privat";"";"√Öfjord";5058;"FV6312 S1D1 m1793";300.0;11.0;80.0;"Lite streng";"E - Lokale adkomstveger";4;0;"Vanskelig";"";135.0;-5.3;300.0;11.0;"Lite streng";"Midlertidig tillatelse"
600313586;"Bolig";"202440621-2";"14.08.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584567";"Utvidet bruk";"30.08.2024";"30.08.2027";"";"Privat";"Privat";"";"√Öfjord";5058;"FV6312 S1D1 m3081";300.0;11.0;80.0;"Lite streng";"E - Lokale adkomstveger";11;0;"Enkel";"";-112.0;-8.1;300.0;11.0;"Lite streng";"Utvidet bruk"
619482490;"Bolig";"202518618-2 ";"10.04.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616546";"Varig tillatelse";"14.04.2025";"14.04.2028";"Denne avkj√∏rselen skal saneres n√•r ny er etablert. ";"Privat";"Privat";"";"Orkland";5059;"FV6496 S1D1 m11578";450.0;11.0;80.0;"Lite streng";"E - Lokale adkomstveger";9;1;"Enkel";"";-1703.0;0.5;450.0;11.0;"Lite streng";"Varig tillatelse"
