OBJ.VEGOBJEKT-ID;OBJ.TYPE-ID;OBJ.VERSJON;MET.FØRSTE FOREKOMST;MET.OPPRETTET DATO;OBJ.STARTDATO;OBJ.SLUTTDATO;OBJ.SIST MODIFISERT;EGS.BRUKSOMRÅDE.1256;EGS.PRIMÆRAKTIVITET.1824;EGS.AVSTAND PERSONAKTIVITET (M).1823;EGS.STIGNING (NULL).1825;EGS.BREDDE (M).1682;EGS.DRENERINGSFORHOLD.1828;EGS.SIKTFORHOLD.12051;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.KONTROLLERT- OG GODKJENTDATO.11445;EGS.ETABLERINGSÅR.10267;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;LOK.FYLKESNUMMER;LOK.RIKSVEGRUTE;LOK.KONTRAKTSOMRÅDE;VSR.VEGSYSTEMREFERANSE;VSR.VEGKATEGORI;VSR.FASE;VSR.VEGNUMMER;VSR.STREKNING;VSR.DELSTREKNING;VSR.FRA_METER;VSR.TIL_METER;LOK.VEGLENKESEKVENSID;LOK.STARTPOSISJON;LOK.SLUTTPOSISJON;LOK.RETNING;LOK.SIDEPOSISJON;LOK.KJØREFELT;LOK.TYPEVEG;LOK.LENGDE;REL.FORELDER;REL.BARN;GEO.GEOMETRI;GEO.HØYDEREFERANSE;GEO.DATAFANGSTDATO;GEO.DATAFANGSTMETODE;GEO.NØYAKTIGHET;GEO.SYNBARHET;GEO.DATAFANGSTMETODEHØYDE;GEO.H-NØYAKTIGHET;GEO.MAX-AVVIK
721319043;46;2;1;;29.07.2025;;2025-07-29T12:53:12Z;Gardsbruk;;;;;;;202527324;30.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=625355#;Utvidet bruk;14.07.2025;14.07.2028;;;;Privat;Privat;;Malvik;5031;Trøndelag;50;;5007 Stjørdal 2020-2027,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6670 S1D1 m1878;F;V;6670;1;1;1878,201;1878,201;72677;0,20218426;0,20218426;MED;H;;Enkel bilveg;0;;;POINT Z (284090.321 7039957.903 135.689);;;;;;;;
1024479995;46;1;1;;13.06.2025;;2025-06-13T11:08:43Z;Industri;;;;;;;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;;;Privat;Privat;;Malvik;5031;Trøndelag;50;;Skiltkontrakt Trøndelag FK 2020-2025;FA6706 S1001D1 m193;F;A;6706;1001;1;193;193;3391416;0,02512717;0,02512717;MED;VH;;Enkel bilveg;0;;;POINT Z (282068.488 7040247.005 100.226);;;;;;;;
715901994;46;3;1;;08.11.2024;;2025-04-30T11:44:17Z;Dyrkamark/jordbruk;;;;;;;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;;;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV705 S8D1 m5980;F;V;705;8;1;5979,603;5979,603;72306;0,45664117;0,45664117;MED;H;;Enkel bilveg;0;;;POINT Z (320134.754 6998230.911 274.737);;;;;;;;
715901993;46;3;1;;08.11.2024;;2025-04-30T11:44:17Z;Skog/skogbruk;;;;;;;202444206-4;02.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153;Midlertidig tillatelse;08.11.2024;23.12.2024;;;Midlertidig endret bruk av avkjørselen. ;Privat;Privat;;Tydal;5033;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV705 S8D1 m5867;F;V;705;8;1;5866,603;5866,603;72306;0,44513157;0,44513157;MED;V;;Enkel bilveg;0;;;POINT Z (320103.841 6998339.458 269.785);;;;;;;;
1024620199;46;1;1;;29.07.2025;;2025-07-29T11:40:57Z;Bolig;;;;;;;202524823;12.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622819#;Utvidet bruk;09.07.2025;09.07.2028;;;;Privat;Privat;;Stjørdal;5035;Trøndelag;50;;5007 Stjørdal 2020-2027,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028;FV6788 S2D1 m18;F;V;6788;2;1;18;18;578252;0,95956634;0,95956634;MED;;;Enkel bilveg;0;;;POINT Z (305392.201 7042667.48 11.095);;;;;;;;
718788016;46;2;1;;29.04.2025;;2025-04-30T11:45:39Z;Bolig;;;;;;;202510259-3;14.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608151;Utvidet bruk;10.04.2025;10.04.2028;;;;Privat;Privat;;Indre Fosen;5054;Trøndelag;50;;5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5003 Fosen sør 2026-2031 vegnett fra 1.9.2026,5003 Fosen sør 2026-2031 vegnett fra 1.9.2027;FV718 S1D1 m4886;F;V;718;1;1;4886,425;4886,425;72382;0,21554092;0,21554092;MED;V;;Enkel bilveg;0;;;POINT Z (248179.46 7060814.311 12.666);;;;;;;;
615543130;46;2;1;;29.05.2024;;2025-04-30T11:41:25Z;Bolig;;;;;;;202131549-4 ;13.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=407094;Utvidet bruk;24.05.2024;24.05.2027;;;;Privat;Privat;;Hitra;5056;Trøndelag;50;;5002 Hitra 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5002 Hitra 2025-2030,E5051 Trøndelag Sør 2025-2028;FV6448 S1D1 m5551;F;V;6448;1;1;5551,142;5551,142;72517;0,95585984;0,95585984;MED;H;;Enkel bilveg;0;;;POINT Z (205531.236 7074478.764 5.59);;;;;;;;
607413153;46;2;1;;18.09.2024;;2025-04-30T11:40:43Z;Dyrkamark/jordbruk;;;;;;;202445172-2;10.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589122;Varig tillatelse;18.09.2024;18.09.2027;;;;Privat;Privat;;Ørland;5057;Trøndelag;50;;5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5012 Fosen nord 2026-2031 vegnett fra 1.9.2026,5012 Fosen nord 2026-2031 vegnett fra 1.9.2027;FV6392 S1D1 m264;F;V;6392;1;1;263,922;263,922;72869;0,02952436;0,02952436;MED;H;;Enkel bilveg;0;;;POINT Z (237272.543 7075550.306 6.232);;;;;;;;
607413228;46;2;1;;03.05.2024;;2025-04-30T11:40:43Z;Bolig;;;;;;;202424751-2;08.04.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=568555;Utvidet bruk;03.05.2024;03.05.2024;;;;Privat;Privat;;Ørland;5057;Trøndelag;50;;5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5012 Fosen nord 2026-2031 vegnett fra 1.9.2026,5012 Fosen nord 2026-2031 vegnett fra 1.9.2027;FV6392 S2D1 m840;F;V;6392;2;1;839,875;839,875;72869;0,78484311;0,78484311;MED;H;;Enkel bilveg;0;;;POINT Z (244299.21 7075988.83 15.11);;;;;;;;
608011038;46;2;1;;30.07.2025;;2025-07-30T10:54:08Z;Gardsbruk;;;;;;;202522248;21.05.2025;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3456061&VerID=3254109;Endret bruk;23.07.2025;28.11.2025;;;Tiltak: Midlertidig utvidelse og bruksendring av avkjørsel;Privat;Privat;;Ørland;5057;Trøndelag;50;;5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5012 Fosen nord 2026-2031 vegnett fra 1.9.2026,5012 Fosen nord 2026-2031 vegnett fra 1.9.2027;FV6406 S1D1 m4777;F;V;6406;1;1;4777,05;4777,05;72482;0,48058194;0,48058194;MED;V;;Enkel bilveg;0;;;POINT Z (232328.828 7077260.805 7.194);;;;;;;;
1022569230;46;1;1;;15.05.2025;;2025-05-15T11:51:35Z;Forretning;;;;;;;202519020;17.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616964#;Avslag;09.05.2025;;;;;;;;Ørland;5057;Trøndelag;50;;5003 Fosen 2019-2026,5003 Fosen 2019-2026 vegnett fra 1.9. 2022,5003 Fosen 2019-2026 vegnett fra 1.9. 2021,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5012 Fosen nord 2026-2031 vegnett fra 1.9.2026,5012 Fosen nord 2026-2031 vegnett fra 1.9.2027;FV6346 S1D1 m45;F;V;6346;1;1;45;45;72433;0,01044161;0,01044161;MED;H;;Enkel bilveg;0;;;POINT Z (248756.316 7092924.439 38.308);;;;;;;;
