iter	Passed	Remaining
738	4767	3618
739	4773	3612
740	4780	3606
741	4786	3599
742	4792	3593
743	4798	3586
744	4804	3579
745	4810	3572
746	4816	3565
747	4822	3558
748	4829	3552
749	4835	3545
750	4841	3538
751	4847	3532
752	4852	3525
753	4860	3519
754	4867	3513
755	4873	3506
756	4879	3499
757	4885	3493
758	4891	3486
759	4897	3479
760	4903	3472
761	4908	3465
762	4914	3459
763	4920	3452
764	4926	3445
765	4933	3438
766	4938	3432
767	4945	3425
768	4951	3418
769	4957	3412
770	4963	3405
771	4969	3398
772	4975	3391
773	4980	3384
774	4986	3378
775	4992	3371
776	4998	3364
777	5004	3357
778	5010	3351
779	5016	3344
780	5022	3337
781	5029	3331
782	5035	3324
783	5042	3318
784	5048	3312
785	5056	3306
786	5062	3300
787	5069	3293
788	5076	3287
789	5083	3281
790	5091	3276
791	5098	3270
792	5105	3263
793	5111	3257
794	5117	3250
795	5124	3244
796	5132	3238
797	5138	3232
798	5143	3225
799	5150	3218
800	5156	3212
801	5163	3206
802	5170	3200
803	5176	3193
804	5183	3187
805	5192	3182
806	5198	3175
807	5205	3169
808	5213	3164
809	5219	3157
810	5226	3151
811	5233	3145
812	5239	3138
813	5247	3133
814	5256	3127
815	5262	3121
816	5269	3115
817	5275	3108
818	5282	3102
819	5288	3095
820	5296	3089
821	5302	3083
822	5310	3077
823	5316	3071
824	5322	3064
825	5329	3058
826	5335	3051
827	5344	3046
828	5350	3040
829	5357	3033
830	5363	3027
831	5369	3020
832	5376	3013
833	5383	3007
834	5390	3001
835	5396	2995
836	5403	2988
837	5409	2982
838	5416	2976
839	5424	2970
840	5430	2963
841	5436	2957
842	5442	2950
843	5451	2945
844	5458	2939
845	5464	2932
846	5472	2926
847	5478	2920
848	5486	2914
849	5492	2908
850	5499	2901
851	5506	2895
852	5512	2888
853	5518	2882
854	5524	2875
855	5531	2869
856	5538	2862
857	5544	2856
858	5551	2849
859	5558	2843
860	5564	2837
861	5571	2830
862	5578	2824
863	5585	2818
864	5592	2812
865	5599	2806
866	5606	2799
867	5612	2793
868	5618	2786
869	5627	2781
870	5633	2774
871	5640	2768
872	5648	2762
873	5654	2756
874	5661	2749
875	5666	2742
876	5673	2736
877	5679	2729
878	5685	2723
879	5692	2717
880	5699	2710
881	5706	2704
882	5713	2698
883	5719	2691
884	5726	2685
885	5732	2678
886	5739	2672
887	5746	2665
888	5751	2659
889	5757	2652
890	5762	2645
891	5769	2638
892	5774	2631
893	5780	2625
894	5785	2618
895	5790	2610
896	5796	2604
897	5801	2597
898	5806	2590
899	5812	2583
900	5817	2576
901	5822	2569
902	5828	2562
903	5833	2555
904	5838	2548
905	5844	2541
906	5849	2534
907	5855	2527
908	5861	2521
909	5866	2514
910	5872	2507
911	5879	2501
912	5885	2494
913	5890	2487
914	5896	2480
915	5901	2474
916	5906	2467
917	5912	2460
918	5917	2453
919	5922	2446
920	5928	2439
921	5934	2432
922	5940	2426
923	5945	2419
924	5950	2412
925	5955	2405
926	5961	2398
927	5966	2391
928	5972	2385
929	5978	2378
930	5983	2371
931	5988	2364
932	5994	2358
933	6000	2351
934	6006	2344
935	6011	2337
936	6016	2330
937	6022	2324
938	6027	2317
939	6032	2310
940	6038	2303
941	6043	2296
942	6049	2290
943	6055	2283
944	6062	2277
945	6068	2271
946	6075	2264
947	6082	2258
948	6088	2251
949	6095	2245
950	6100	2238
951	6106	2232
952	6112	2225
953	6118	2219
954	6124	2212
955	6129	2205
956	6135	2199
957	6141	2192
958	6147	2185
959	6152	2179
960	6158	2172
961	6164	2165
962	6170	2159
963	6175	2152
964	6181	2146
965	6187	2139
966	6192	2132
967	6198	2125
968	6204	2119
969	6210	2112
970	6216	2106
971	6222	2099
972	6228	2093
973	6233	2086
974	6238	2079
975	6245	2073
976	6250	2066
977	6255	2059
978	6261	2052
979	6266	2046
980	6272	2039
981	6277	2032
982	6282	2026
983	6287	2019
984	6293	2012
985	6298	2005
986	6304	1999
987	6309	1992
988	6314	1985
989	6320	1979
990	6325	1972
991	6330	1965
992	6336	1958
993	6341	1952
994	6346	1945
995	6352	1938
996	6357	1932
997	6364	1925
998	6370	1919
999	6375	1912
1000	6381	1906
1001	6387	1899
1002	6392	1892
1003	6397	1886
1004	6404	1879
1005	6409	1873
1006	6414	1866
1007	6419	1859
1008	6425	1853
1009	6430	1846
1010	6435	1839
1011	6441	1833
1012	6446	1826
1013	6452	1819
1014	6458	1813
1015	6463	1806
1016	6469	1800
1017	6474	1793
1018	6480	1787
1019	6486	1780
1020	6492	1774
1021	6498	1767
1022	6504	1761
1023	6509	1754
1024	6515	1748
1025	6521	1741
1026	6526	1734
1027	6532	1728
1028	6537	1721
1029	6543	1715
1030	6548	1708
1031	6553	1701
1032	6559	1695
1033	6564	1688
1034	6570	1682
1035	6576	1675
1036	6581	1669
1037	6587	1662
1038	6593	1656
1039	6599	1649
1040	6605	1643
1041	6611	1636
1042	6617	1630
1043	6623	1624
1044	6629	1617
1045	6634	1611
1046	6640	1604
1047	6645	1597
1048	6651	1591
1049	6657	1585
1050	6662	1578
1051	6667	1571
1052	6673	1565
1053	6678	1558
1054	6684	1552
1055	6690	1545
1056	6696	1539
1057	6702	1533
1058	6708	1526
1059	6713	1520
1060	6719	1513
1061	6724	1507
1062	6730	1500
1063	6735	1493
1064	6740	1487
1065	6745	1480
1066	6750	1474
1067	6754	1467
1068	6760	1460
1069	6765	1454
1070	6771	1447
1071	6776	1441
1072	6782	1434
1073	6787	1428
1074	6793	1421
1075	6798	1415
1076	6804	1408
1077	6810	1402
1078	6815	1395
1079	6821	1389
1080	6826	1383
1081	6832	1376
1082	6837	1370
1083	6843	1363
1084	6849	1357
1085	6855	1350
1086	6860	1344
1087	6866	1337
1088	6871	1331
1089	6877	1324
1090	6882	1318
1091	6888	1312
1092	6893	1305
1093	6899	1299
1094	6904	1292
1095	6910	1286
1096	6915	1279
1097	6921	1273
1098	6927	1266
1099	6932	1260
1100	6938	1254
1101	6944	1247
1102	6949	1241
1103	6955	1234
1104	6960	1228
1105	6965	1221
1106	6972	1215
1107	6977	1209
1108	6983	1202
1109	6988	1196
1110	6993	1189
1111	6999	1183
1112	7006	1177
1113	7012	1170
1114	7018	1164
1115	7024	1158
1116	7030	1151
1117	7035	1145
1118	7043	1139
1119	7050	1133
1120	7056	1126
1121	7062	1120
1122	7069	1114
1123	7075	1107
1124	7080	1101
1125	7086	1095
1126	7092	1088
1127	7097	1082
1128	7103	1075
1129	7108	1069
1130	7113	1062
1131	7119	1056
1132	7124	1050
1133	7129	1043
1134	7135	1037
1135	7140	1030
1136	7145	1024
1137	7150	1017
1138	7156	1011
1139	7161	1005
1140	7166	998
1141	7172	992
1142	7177	985
1143	7182	979
1144	7188	973
1145	7193	966
1146	7198	960
1147	7205	954
1148	7212	947
1149	7218	941
1150	7223	935
1151	7229	928
1152	7234	922
1153	7240	915
1154	7245	909
1155	7251	903
1156	7256	896
1157	7261	890
1158	7267	884
1159	7272	877
1160	7278	871
1161	7283	865
1162	7289	858
1163	7294	852
1164	7300	845
1165	7305	839
1166	7311	833
1167	7316	826
1168	7328	821
1169	7339	815
1170	7352	809
1171	7367	804
1172	7378	798
1173	7389	793
1174	7402	787
1175	7413	781
1176	7419	775
1177	7425	768
1178	7431	762
1179	7437	756
1180	7451	750
1181	7462	744
1182	7468	738
1183	7474	732
1184	7480	725
1185	7486	719
1186	7492	713
1187	7497	706
1188	7503	700
1189	7508	694
1190	7513	687
1191	7518	681
1192	7526	675
1193	7533	668
1194	7540	662
1195	7546	656
1196	7552	649
1197	7558	643
1198	7564	637
1199	7569	630
1200	7575	624
1201	7581	618
1202	7587	611
1203	7594	605
1204	7599	599
1205	7605	592
1206	7611	586
1207	7616	580
1208	7622	573
1209	7628	567
1210	7633	561
1211	7639	554
1212	7644	548
1213	7650	541
1214	7655	535
1215	7660	529
1216	7666	522
1217	7672	516
1218	7677	510
1219	7682	503
1220	7688	497
1221	7693	491
1222	7698	484
1223	7704	478
1224	7710	472
1225	7716	465
1226	7724	459
1227	7731	453
1228	7737	447
1229	7744	440
1230	7750	434
1231	7757	428
1232	7763	421
1233	7771	415
1234	7777	409
1235	7783	403
1236	7789	396
1237	7795	390
1238	7801	384
1239	7808	377
1240	7814	371
1241	7819	365
1242	7826	358
1243	7832	352
1244	7838	346
1245	7844	339
1246	7850	333
1247	7856	327
1248	7861	321
1249	7867	314
1250	7873	308
1251	7879	302
1252	7885	295
1253	7893	289
1254	7898	283
1255	7905	276
1256	7912	270
1257	7920	264
1258	7926	258
1259	7933	251
1260	7939	245
1261	7945	239
1262	7960	233
1263	7967	226
1264	7973	220
1265	7979	214
1266	7986	208
1267	7992	201
1268	7997	195
1269	8003	189
1270	8008	182
1271	8015	176
1272	8021	170
1273	8028	163
1274	8035	157
1275	8042	151
1276	8049	144
1277	8056	138
1278	8063	132
1279	8070	126
1280	8076	119
1281	8083	113
1282	8089	107
1283	8098	100
1284	8105	94
1285	8113	88
1286	8120	82
1287	8127	75
1288	8133	69
1289	8139	63
1290	8145	56
1291	8151	50
1292	8159	44
1293	8165	37
1294	8173	31
1295	8179	25
1296	8185	18
1297	8194	12
1298	8200	6
1299	8207	0
